gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_5_pearson	cluster_5_pearson_color
AT1G35612	1.043526008394669	0.8567809676414336	-0.9624945787511913	-0.9378123972849115	5	#80B1D3
AT1G36622	0.513612483591277	0.7356655277734243	-0.4102425644288463	-0.8390354469358545	5	#80B1D3
AT1G37150	1.1917649274032325	0.6538580988783671	-0.9083159351052094	-0.9373070911763901	5	#80B1D3
AT1G43605	-0.8712814698733226	-0.9428011520244166	1.03623612147538	0.7778465004223589	1	#8DD3C7
AT1G43770	1.2317582301411503	0.48873222646284487	-0.570111742393486	-1.1503787142105097	3	#BEBADA
AT1G43800	-0.6815771051661819	-0.5196937638858685	-0.12766681818292244	1.3289376872349732	2	#FFFFB3
AT1G45010	-0.6036319763678732	-0.4134820932065379	-0.4710889751702621	1.4882030447446744	2	#FFFFB3
AT1G46554	-0.8379451421594498	-0.907611884785275	0.581969834416982	1.1635871925277423	2	#FFFFB3
AT1G47920	-0.596545242975365	-0.7972961587663892	0.5095236784244747	0.8843177233172789	1	#8DD3C7
AT1G48100	-1.1106796571229884	-0.5475551251747401	0.6936084344682649	0.9646263478294628	2	#FFFFB3
AT1G48360	1.2283476360843926	0.42035201087992363	-0.9090588122680469	-0.7396408346962695	5	#80B1D3
